Type,Plant - Common,Full Grown Characteristics,Flower Color,Soil Type,Sun Exposure,Foliage Color
SHRUBS,"Lilac, Dwarf Korean","4-5'Tx4-6'W, fragrant lavender flowers, May, Powdery Mildew Resistant",Lavender,Average,Full Sun,Green
SHRUBS,Mountain Laurel,"7-8'Tx7-8'W, white-light pink buds, white-edged with burgunday flowers, June, compact, N", Pink Buds to White/ Burgundy,Average to Moist,Partial Shade,Green
SHRUBS,Mountain Laurel,"6-8'Tx7-9'W, red buds, pink flower, late June,  N",Red Bud to Pink ,Average to Moist,Partial Shade,Green
SHRUBS,Mountain Laurel,"4-5'Tx4-5'W, pink bud/pink corolla, delicate, June, N",Pink Buds,Average to Moist,Partial Shade,Green
SHRUBS,Mountain Laurel,"8-10'Tx6-7'W, burgundy red bud, pink corolla, June, N",Red Bud to Pink ,Average to Moist,Partial Shade,Dark Green
SHRUBS,Mountain Laurel,"7-8'Tx7-8'W, buds red, pink flowers, June, compact, N",Red Bud to Pink ,Average to Moist,Partial Shade,Green
SHRUBS,Mountain Laurel,"6-8'Tx6-8'W, white flowers, May-June, compact, N",White,Average to Moist,Partial Shade,Green
SHRUBS,Mountain Laurel,"5-6'Tx5-6'W, medium green foliage, white flowers, late May, N",White,Average to Moist,Partial Shade,Medium Green
SHRUBS,Mountain Laurel,"4-5'Tx4-5'W, red buds-pink flowers, late-May, N",Red Bud to Pink ,Average to Moist,Partial Shade,Green
SHRUBS,Mountain Laurel,"8-10'Tx6-8'W, red buds, pinkish-red flowers, late May, N",Red Bud to Pink ,Average to Moist,Partial Shade,Deep Green
SHRUBS,Mountain Laurel,"5'Tx5'W, light pink buds/pure white flowers, late May, N ",Pink buds to White ,Average to Moist,Partial Shade,Dark Green
SHRUBS,Mountain Laurel,"7-8'Tx7-8'W, buds red/white flowers, late May, N",Red Bud to White,Average to Moist,Partial Shade,Green
SHRUBS,Mountain Laurel,"7-8' Tx7-8' W, compact, deep pink buds, light pink with cinnamon flowers, June, N",Pink w/Cinnamon,Average to Moist,Partial Shade,Deep Green
SHRUBS,Mountain Laurel,"8-10'Tx8-10'W, bright red-pink buds, narrow maroon band flowers, June, N", Pink w/ Maroon ,Average to Moist,Partial Shade,Green
SHRUBS,Mountain Laurel,"8-10' Tx 8-10' W, deep pink buds, strong pink flowers, June, N",Pink,Average to Moist,Partial Shade,Deep Green
SHRUBS,Mountain Laurel,"6-8'Tx6-8'W, deep red buds, light pink flowers, May-June, N", Red Buds to Pink,Average to Moist,Partial Shade,Dark Green
SHRUBS,Mountain Laurel,"8-10'Tx8-10'W, brilliant red buds, white with cinnamon flowers, June, N", Red buds to white w/cinnimon ,Average to Moist,Partial Shade,Green
SHRUBS,Mountain Laurel,"8-10'Tx8-10'W, pink buds, pink flowers, late June, N",Pink,Average to Moist,Partial Shade,Green
SHRUBS,Mountain Laurel,"8-10'Tx8-10'W, soft pink buds, white flowers/cinnamon-purple bands, late May, burgundy stems, N", Pink Buds to White/Cinnamon-Purple ,Average to Moist,Partial Shade,Green w/Burgundy Stems
SHRUBS,Ninebark,"7-8'Tx8-9'W, white flowers, June, yellow-green-reddish/purplish foliage, N",White ,Average to Dry,Sun/Part Sun,Yellow Green to Red- Purple
SHRUBS,"Ninebark, Dwarf","3-4'Tx3-4'W, white flowers, June, bronze/maroon foliage, blooms on old wood N",White ,Average to Dry,Sun/Part Sun,Bronze Maroon
SHRUBS,"Ninebark, Dwarf","3-4'Tx3-4'W, blush flowers, late May-June, burgundy foliage, blooms on old wood, N",Blush ,Average to Dry,Sun/Part Sun,Burgundy
SHRUBS,Ninebark,"5-6'Tx5-6'W, white flowers, late May-June, orange maturing to burgundy foliage, red fruit in Fall,  N",,,,
SHRUBS,Ninebark,"5-6'Tx4-5'W, white flowers, late May-June, orange/yellow/gold foliage, N",,,,
SHRUBS,"Pine, Dwarf White","6-7'Tx10-12'W, medium green needles, dense and spreading",,,,Med Green Needles
SHRUBS,"Pine, Dwarf White","5-6'Tx6-8'W, low, irregular, half-upright spreader with long-needled, unruly branches",,Average,Sun/Part Sun,Green
SHRUBS,"Pine, Dwarf White","5-8'T x 6'W, silver-green needles, half-upright spreader, fast grower",,Average,Sun/Part Sun,Silver Green Needles
SHRUBS,"Pine, Dwarf White ","3-4'Tx4-5'W, soft touchable foliage, dense, tight ,low",,Average,Sun/Part Sun,Green
SHRUBS,"Pine, Dwarf White ","2-3'Tx3-4'W,  deep blue-green, touchable foliage ",,Average,Sun/Part Sun,Deep Blue/Green
SHRUBS,"Pine, Mugo","2-3'Tx2-3'W, dense and compact grower",,Average,Full Sun,Green
SHRUBS,"Pine, Mugo ","3-4'T 6-8'W, slow growing",,Average,Full Sun,Green
SHRUBS,"Plum Yew, Prostrate Japanese  ","2-3'Tx2-6'W, low mounding evergreen, arching,pendulous branches, can take shade, Deer Resistant",,Average to moist,Part/Full Shade,Green
SHRUBS,"Quince, Flowering","3-4'Tx4-5'W, large, red camillia-like flowers, mid-April-early May, fruitless and thornless",Red,Average,Sun/Part Sun,Green
SHRUBS,"Quince, Flowering","3'Tx 5-6'W, deep pink camillia-like blooms, mid-April-early May, fruitless and thornless",Deep Pink,Average,Sun/Part Sun,Green
SHRUBS,"Quince, Flowering","3-4'Tx4-5'W, reddish-orange flowers, mid-April-early May",Red-Orange,,,
SHRUBS,Rhododendron,"5-6'Tx6-7'W, soft pink flowers, mid-May",Soft Pink,Average to moist,Sun/Part Sun,Deep Green
SHRUBS,Rhododendron,"5-6'Tx3-4'W, pure white flowers, late April, bright yellowish-green stems, bronze fall/winter color",White ,Average,Sun/Part Sun,Bright Yellow/Green Stem
SHRUBS,Rhododendron,"6-7'Tx7-8'W, wavey edged foliage, dark purple flowers, late May",Dark Purple,Average to moist,Sun/Part Sun,Wavy Edge
SHRUBS,Rhododendron,"5-6'Tx5-6'W, riveting violet-purple flowers, late-May",Violet/Purple,Average to moist,Sun/Part Sun,Green
SHRUBS,Rhododendron,"4-5'Tx3-4'W, lavendar/pink flowers, late-April, purple-plum winter foliage",Lavendar Pink,Average to moist,Sun/Part Sun,Dark Green
SHRUBS,Rhododendron,"6-7'Tx6-7'W, deep purple buds-lavender flowers, mid-May",Deep Purple/Lavendar,Average to moist,Sun/Part Sun,Green
SHRUBS,Rhododendron,"5-6'Tx4-5'W, deep pink flowers, mid-May, reddish Fall Color",Deep Pink,Average to moist,Sun/Part Sun,Green
SHRUBS,Rhododendron,"5-6'Tx5-6'W, red flowers, early May, Fall Color",Red ,Average to moist,Sun/Part Sun,Green
SHRUBS,Rhododendron,"7-9'Tx7-9'W, red flowers, mid-May",Red ,Average to moist,Sun/Part Sun,Green
SHRUBS,Rhododendron,"4-5'Tx4-5'W, larger deep pink flowers, deep red stems,  late April",Deep Pink,Average to moist,Sun/Part Sun,Red Stem
SHRUBS,Rhododendron,"5-6'Tx5-6'W, soft pink flowers, early May,fast growing, mounding habit ",Soft Pink,Average to moist,Sun/Part Sun,Green
SHRUBS,Rhododendron,"6-8'Tx6-8'W, distinct yellow flowers, lustrous deep green foliage, early May",Yellow ,Average to moist,Sun/Part Sun,Lustrous Deep Green
SHRUBS,Rhododendron,"7-8'Tx7-8'W, lavender-pink flowers , mid-May",Lavender Pink,Average to moist,Sun/Part Sun,Green
SHRUBS,Rhododendron,"6-7'Tx6-7'W, lilac-tinged open to white flowers with yellow blotches, mid-May","Lilac / White, Yellow",Average to moist,Sun/Part Sun,Green
SHRUBS,Rhododendron ,"7-8'Tx7-8'W, rose-pink flowers, late May",Rose Pink ,Average to moist,Sun/Part Sun,Medium Green
SHRUBS,Rhododendron ,"4-5'Tx5-6'W, white with yellow center flowers, early May ","White, Yellow Center",Average to moist,Sun/Part Sun,Dark Green
SHRUBS,"Rhododendron, Compact","2-3'Tx3-4'W, pink flowers, mid-May",Pink ,Average to moist,Sun/Part Sun,Green
SHRUBS,"Rhododendron, Compact","2-3'Tx5-6'W, frilly, deep dark purple blooms, mid-late May", Deep Purple,Average to moist,Sun/Part Sun,Green
SHRUBS,"Rhododendron, Compact","3-4'Tx4-5'W, rose buds, peachy-pink flowers, May","Rose Buds, Peachy Pink",Average to moist,Sun/Part Sun,Green
SHRUBS,"Rhododendron, Compact","2-3'Tx3-4'W, dark pink flowers, mid-May",Dark Pink,Average to moist,Sun/Part Sun,Green
SHRUBS,"Rhododendron, Compact","2-3'Tx 3-4'W, soft, lemon yellow flowers, early May, deep green leaves",Soft Lemon Yellow,Average to moist,Sun/Part Sun,Deep Green
SHRUBS,"Rhododendron, Compact","4'Tx4'W, raspberry red flowers, May",Rasberry Red,Average to moist,Sun/Part Sun,Green
SHRUBS,"Rhododendron, Compact","4'Tx4'W, dark pink buds open to pale pink flowers, mid-May",Dark to pale pink,Average to moist,Sun/Part Sun,Green
SHRUBS,"Rhododendron, Compact","2-3'Tx2-3'W, deep reddish-purple with wavy edges and yellow eye flowers, early May, Winter Foliage-Black ",Deep Red-Purple w/Yellow,Average,Sun/Part Sun,Black Winter Foliage
SHRUBS,"Rhododendron, Compact","2-3'Tx2-3'W, light yellow flowers, mid-May ",Light Yellow,Average to moist,Sun/Part Sun,Green
SHRUBS,"Rhododendron, Compact","2'Tx3'W, purple-pink buds, white flower, early May", Purple-Pink/White,Average to moist,Sun/Part Sun,Green
SHRUBS,"Rhododendron, Compact","2-3'Tx4-5'W, apple blossom pink fading to white flowers, mid-May",Apple Blossom Pink/White,Average to moist,Sun/Part Sun,Dark Green
SHRUBS,"Rhododendron, Compact","3-4'Tx4-5'W, bright red flowers, mid-May",Bright Red ,Average to moist,Sun/Part Sun,Green
SHRUBS,"Rhododendron, Compact","3-4'Tx4-5W,  pale purplish-pink flowers with dark edge, mid-May",Pale Purple-Pink,Average to moist,Sun/Part Sun,Green
SHRUBS,"Rhododendron, Compact","3-4'Tx3-4'W, wavy edged pink-light red flowers, mid-May",Pink/Light Red,Average to moist,Sun/Part Sun,Green
SHRUBS,"Rhododendron, Compact","3-4'Tx3-4'W, brilliant blue flowers, early May, reddish-brown winter color",Brilliant Blue,Average,Sun/Part Sun,Reddish Brown Winter
SHRUBS,"Rhododendron, Compact","6'Tx 5'W, deep pink flowers, May ",Deep Pink,Average,Sun/Part Sun,Green
SHRUBS,"Rhododendron, Compact","3-4'Tx 4-5'W, trusses of small white flowers, early May, narrow, deep green evergreen foliage, part sun/shade, moist",,,,
SHRUBS,"Rhododendron, Rosebay","8-12'Tx8-12'W, clear pink flowers, late June/early July, loose, open habit, N",Clear Pink,Average to moist,Part/Full Shade,Dark Green
SHRUBS,Rhodora,"2-3'Tx3-4'W, pink flowers, April, deciduous, blue-green foliage, moist soil, half day sun, N",Pink ,Moist,1/2 Day,Blue Green
SHRUBS,Rose of Sharon,"8-12'Tx6-10'W, royal blue flowers with deep-colored throats, mid-late Summer, hummingbirds",Royal Blue,Average,Full Sun,Dark Green
SHRUBS,"Rose, Climbing ","10-12'T or wider, fragrant cerise pink flowers, tolerates shade, thornless",Cerise Pink,Average,Sun/Part Sun,Green
SHRUBS,"Rose, Climbing ","8-10'T, double, dark pink flower, early Summer/early Fall, resistant-Black Spot & Mildew",Dark Pink,Average,Full Sun,Dark Green
SHRUBS,"Rose, Climbing ","14-16'T, sweet smelling, double, cameo pink flowers, old and new wood, tough ",Cameo Pink,Average,Sun/Part Sun,Dark Green
SHRUBS,"Rose, Climbing ","8-10'Tx8-10'W, fragrant, rosey-pink flowers, X-hardy and Disease Resistant",Rosey Pink,Average,Full Sun,Green
SHRUBS,"Rose, Climbing ","12-14'Tx3-4'W, rich, red sweetly scented flowers, repeat bloomer",Rich Red,Average,Full Sun,Green
SHRUBS,"Rose, Climbing ","6-10'Tx3-4'W, slightly fragrant, double, deep red flowers, repeat bloomer, dark green clean foliage",Deep Red,Average,Sun/Part Sun,Dark Green
SHRUBS,"Rose, Climbing ","8-12'Tx5-7'W, fragrant, velvety red, semi double flowers, repeat bloomer",Velvety Red,Average,Full Sun,Deep Green
SHRUBS,"Climbing Rose, David Austin","8'Tx4'W, fragrant, large, bright crimson flowers, repeat bloomer",Bright Crimson,Average,Full Sun,Green
SHRUBS,"Climbing Rose, David Austin","4.5'Tx4'W, highly fragrant, rich, dark crimson flowers in the form of large, shallow cups, repeat bloomer",Dark Crimson,Average,Full Sun,Green
SHRUBS,"Climbing Rose, David Austin","4.5'Tx4'W, highly fragrant creamy white flowers, repeat flowering",Creamy White,Average,Sun/Part Sun,Green
SHRUBS,"Climbing Rose, David Austin","15'Tx5'W, lightly fragrant creamy white flowers with medium pink edges, repeat flowering",Creamy White/Pink,Average,Full Sun,Dark Green
SHRUBS,"Rose, David Austin","4'Tx4'W, vibrant rich yellow, tea fragrance, hardy", Rich Yellow,Average,Full Sun,Green
SHRUBS,"Rose, David Austin","8-9'Tx2-3'W, double, fragrant, glowing pink flowers, recurring bloom throughout season",Glowing Pink,Average,Sun/Part Sun,Green
SHRUBS,"Rose, David Austin","4'Tx3'W, intensely fruity fragrant, deep red/pink flowers, repeat flowering ",Deep Red/Pink,Average,Full Sun,Green
SHRUBS,"Rose, David Austin","4'Tx3'W, peachy-pink buds open to fragrant pure white flowers, repeat flowering",Peachy-pink/White,Average,Full Sun,Deep Green
SHRUBS,"Rose, David Austin","4'Tx4'W, old rose fragrant white flowers, repeat flowering",White ,Average,Full Sun,Deep Green
SHRUBS,"Rose, David Austin","4'Tx3'W, fragrant, pure white rounded blooms, very floriferous",White,Average,Full Sun,Light Green
SHRUBS,"Rose, David Austin","4'Tx3'W, highly fragrant, soft yellow flowers, repeat blooming",Soft Yellow,Average,Full Sun,Medium Green
SHRUBS,"Rose, David Austin","4'Tx2.5'W, fragrant, soft apricot pink flowers, repeat flowering",Soft Apricot/Pink,Average,Sun/Part Sun,Green
SHRUBS,"Rose, David Austin","5'Tx4'W, fragrant, pale pink flowers, repeat bloomer",Pale Pink,Average,Sun/Part Sun,Dark Green
SHRUBS,"Rose, David Austin","3'Tx2'W, fragrant, deep crimson flowers, repeat flowering",Deep Crimson,Average,Full Sun,Deep Green
SHRUBS,"Rose, David Austin","3'Tx3'W, strongly fragrant, deep, velvety crimson flowers, repeat bloomer",Deep Crimson,Average,Full Sun,Deep Green
SHRUBS,"Rose, Easy Elegance","3-4'Tx2-3'W, double ivory with a touch of pink flowers turn to pure white",Ivory-Pink/Pure White,Average,Full Sun,Medium Green
SHRUBS,"Rose, Easy Elegance","4'Tx4'W, lightly scented, velvety red flowers, green foliage emerges red in spring ",Velvety Red,Average,Full Sun,Deep Green
SHRUBS,"Rose, Floribunda","3-4'Tx2-3'W, extremely fragrant, blush white flowers, Summer, disease-resistant foliage, great cutting rose",Blush White,Average,Sun/Part Sun,Green
SHRUBS,"Rose, Floribunda","3-4'Tx2-3'W,  fragrant, plum purple flowers, repeat flowering",Plum Purple,Average,Full Sun,Green
SHRUBS,"Rose, Floribunda","3'Tx4'W, fragrant, buttery yellow flowers, long bloom time",Buttery Yellow,Average,Full Sun,Medium Green
SHRUBS,"Rose, Floribunda","3-4'Tx3-4'W, fragrant, large, white flowers, Spring-Fall",White,Average,Full Sun,Green
SHRUBS,"Rose, Floribunda","4-5'Tx3-4'W, fruity, fragrant lavender with magenta flowers",Lavendar/ Magenta,Average,Full Sun,Green
SHRUBS,"Rose, Floribunda","3-6'Tx3-6'W, everblooming, medium red flowers, medium to dark green satiny foliage",Medium Red,Average,Full Sun,Medium Green
SHRUBS,"Rose, Grandiflora","5-6'Tx2-3'W, clear pink flowers, all season, grandiflora",Clear Pink,Average,Full Sun,Green
SHRUBS,"Rose, Grandiflora","2-4'Tx2-3'W, sweetly fragrant apricot blossoms mature to salmon pink flowers, vigorous upright grower",Apricot/Salmon,Average,Full Sun,Green
SHRUBS,"Rose, Hybrid Tea","4-5'Tx3-4'W, ruby-red edges/lavender flowers, late Spring-Fall",Lavender/Ruby Red,Average,Full Sun,Deep Green
SHRUBS,"Rose, Hybrid Tea","4-5'Tx2-3'W, extra large, lemon-edged pink flowers",Lemon/Pink,Average,Sun/Part Sun,Dark Green
SHRUBS,"Rose, Hybrid Tea","4-5'Tx4'W, highly fragrant, deep lilac purple flowers",Deep Lilac,Average,Full Sun,Green
SHRUBS,"Rose, Hybrid Tea","3-5'Tx3-4'W, double white flowers with fruity fragrance, repeat bloomer",White,Average,Full Sun,Green
SHRUBS,"Rose, Hybrid Tea","4-5'Tx3-4'W, large, slightly fragrant, pure white blooms",Pure White,Average,Full Sun,Dark Green
SHRUBS,"Rose, Hybrid Tea","4-7'Tx2-3'W, fragrant, dark, velvety red flowers, matte green foliage",Dark Velvety Red,Average,Full Sun,Matte Green
SHRUBS,"Rose, Hybrid Tea","4-6'Tx3-4'W, highly fragrant, velvety deep red flowers",Deep Velvety  Red,Average,Full Sun,Green
SHRUBS,"Rose, Rugosa","4-5'Tx4-5'W, fragrant double white flowers, all summer",White,Average,Sun/Part Sun,Dark Green
SHRUBS,"Rose, Rugosa","3-4'Tx5-7'W, fragrant, large pink flowers, summer, seashore tolerant, Agressive ",Pink,Average,Sun/Part Sun,Dark Green
SHRUBS,"Rose, Rugosa ","3-4'Tx5-7'W, single, pure white flowers, Spring, seashore tolerant",Pure white ,Average,Sun/Part Sun,Dark Green
SHRUBS,"Rose, Shrub","2-3'Tx2-3'W, carmine red flowers, repeat bloomer",Carmine Red,Average,Full Sun,Green
SHRUBS,"Rose, Shrub","3-4'Tx2-3'W, bright yellow, single, 3"" dia. flowers, May-October, Disease Resistant",Bright Yellow ,Average,Full Sun,Deep Green
SHRUBS,"Rose, Shrub","2-3'Tx3-5'W, cherry red flowers, blooms all summer, Disease Resistant ",Cherry Red,Average,Full Sun,Deep Gray Green
SHRUBS,"Rose, Shrub","2-3'Tx3-5'W, dark green foliage, soft pastel pink single flowers, blooms all summer, Disease Resistant ",Soft Pastel Pink,Average,Full Sun,Dark Green
SHRUBS,"Rose, Shrub","2-3'Tx3-4'W, pink-red double-petal flowers, gray- green foliage, blooms all summer, Disease Resistant ",Pink/Red ,Average,Full Sun,Gray Green
SHRUBS,"Rose, Shrub","3-4'Tx3-4'W,  double, hot pink flowers, May-October, Disease Resistant",Hot Pink,Average,Full Sun,Deep Green
SHRUBS,"Skimmia, Japanese (female)","3-5'Tx3-5'W, glossy red buds, fragrant white flowers, bright red fruits, partial-full shade, moist soil", Red Bud/White,Moist,Part/Full Shade,Dark Green
SHRUBS,"Skimmia, Japanese (male)","3-5'Tx3-5'W, glossy red buds, fragrant white flowers, bright red fruits, partial-full shade, moist soil",Red Bud/ White,Moist,Part/Full Shade,Dark Green
SHRUBS,Spicebush,"6-10'Tx6-10'W, yellow flowers, early April, shady, wet soils, yellow Fall Color, N",Yellow-Green ,Moist to Wet,Part/Full Shade,Light Green
SHRUBS,Spirea,"24-30""Tx3-4'W, deep, pink flowers, June-late August, purple-red new foliage changes to deep, blue green",Deep Pink,Average,Sun/Part Sun,Purple Red /Deep Blue Green
SHRUBS,Spirea,"24-30""Tx3-4'W, pinkish-red flowers, early Summer, blue-green foliage, Deer Resistant",,,,
SHRUBS,Spirea,"5-6'Tx5-6'W,  pink flowers, June-late August, Bees and Butterflies",Pink,Average,Sun/Part Sun,Pink tinge to Blue-Green
SHRUBS,Spirea,"2-3'Tx2-3'W, large, white flowers, early Summer, blue-green foliage, Deer Resistant",,,,
SHRUBS,"Spirea, Mellow Yellow","4-5'Tx4-5'W, white flowers, mid-late April, bright yellow foliage  ",White,Average,Sun/Part Sun,Pale Green
SHRUBS,Spirea,"2-3'Tx2-3'W, large white flowers, early Summer, blue-green foliage, Deer Resistant, Butterflies  ",White,Average,Sun/Part Sun,Blue-Green
SHRUBS,"Spruce, Colorado Dwarf","3'Tx4-6'W, dwarf, blue-needled evergreen",,Average to moist,Full Sun,Blue 
SHRUBS,"Spruce, Dwarf Globe Blue","3-4'Tx 5'W, dwarf, globose form, electric blue needle color",,Average to moist,Full Sun, Electric Blue 
SHRUBS,"Spruce, Dwarf Serbian","3-6'Tx 4-6'W, dwarf, horizontal spreading branches, broadly conical/globose, dense and stiff, blue/green needles",,Average,Sun/Part Sun, Blue Green 
SHRUBS,St. John's Wort,"36""Tx24-36""W, yellow, star-like flowers, July-Frost, orange fruit, Deer and Drought Resistant",Yellow ,Average to moist,Sun/Part Sun,Green
SHRUBS,St. John's Wort,"3-4'Tx3-4'W, yellow flowers, Summer, red fruit, Deer and Drought Resistant, N",Yellow ,Average,Sun/Part Sun, Blue Green 
SHRUBS,St. John's Wort,"3'Tx3-4'W, yellow flowers, Summer, red fruit, Deer and Drought Resistant",Yellow,Average,Sun/Part Sun,Dark Green
SHRUBS,St. John's Wort,"3-4'Tx3-4'W, yellow, star-like flowers, Summer, willow-like leaves, red fruit, Salt Tolerant, Deer and Drought Resistant",Yellow,Average,Sun/Part Sun,Deep Green
SHRUBS,Steeplebush,"3-6'Tx3-6'W, pinkish-lavender flower, July-Aug, butterflies, sunny/moist soil, N",Pink/Lavender,Moist to Wet,Full Sun,Dark Green
SHRUBS,"Sumac, Smooth","10-20'Tx10-20'W, greenish flowers, July-August, velvety, red hairy berries, red Fall Color, colony forming, Birds, N",Greenish,Average to Dry,Sun/Part Sun,Dark Green
SHRUBS,Summersweet,"3-4'Tx3-4'W, fragrant white flowers, late July, yellow Fall Color, N",White,Moist,Sun/Part Sun,Deep Green
SHRUBS,Summersweet,"5-6'Tx5-6'W, fragrant pink flowers, late July, N",Pink,Moist,Sun/Part Sun,Deep Green
SHRUBS,Summersweet ,"5-7'Tx6-8'W, fragrant white flowers, late July, N",White ,Moist,Sun/Part Sun,Deep Green
SHRUBS,"Summersweet, Dwarf","30-36""Tx36-48""W, fragrant, pure white flowers, July-August, butterflies, yellow fall color, N",Pure White,Moist,Sun/Part Sun,Deep Green
SHRUBS,Sweetfern,"2-4'Tx4-8'W, fragrant fern-like foliage, upright, N",  ,Average,Sun/Part Sun,Deep Green
SHRUBS,Sweetgale,"2-4'Tx5-6'W, catkin-like flowers, Spring, aromatic, gray green leaves, wetlands, N",Yellowish Green,Moist to Wet,Sun/Part Sun,Gray/Green
SHRUBS,Sweetshrub,"6-9'Tx6-9'W, fragrant red flowers, May-June, yellow Fall Color, Deer Resistant, N",Red,Average,Sun/Part Sun,Green
SHRUBS,Sweetshrub,"5-6'Tx6-7'W, fragrant, bright red, magnolia-like flowers, Summer, glossy foliage, Deer Resistant",Bright Red ,Average,Sun/Part Sun,Green
SHRUBS,Sweetshrub,"8-10'Tx6-8'W, fragrant magnolia-like white blooms with yellow and lavender, late May-late July, Deer Resistant",White/Yellow Center,Average,Sun/Part Sun,Green
SHRUBS,Sweetspire,"3-4'Tx5-6'W, fragrant, white flowers, June, glossy foliage, Fall Color, N",White,Moist,Sun/Part Sun,Dark Green
SHRUBS,Sweetspire,"3'Tx3-4'W, fragrant, white flowers, June, glossy foliage, Fall Color, N",White ,Moist,Sun/Part Sun,Medium Green 
SHRUBS,Sweetspire,"2-3'Tx2-3'W, highly fragrant, white flowers, early Summer, glossy foliage, red Fall Color, bees, N",White,Moist,Sun/Part Sun,Medium Green 
SHRUBS,"Tea, New Jersey","3-4'Tx4-5'W, fragrant, white flowers, May, butterflies, hummers, N",White,Average to Dry,Sun/Part Sun,"Deep Green, Yellow Twigs"
SHRUBS,Viburnum,"6-8'Tx6-8'W, white flowers, late-June, colorful berries, birds, crimson-purple Fall Color",White,Moist to Wet,Sun/Part Sun,Dark Green
SHRUBS,  ,"10-12'Tx10-12'W, yellow-white flowers, May, long, leathery evergreen foliage, berries ",Yellow White,Moist,Sun/Part Sun,long leathery green
SHRUBS,Viburnum,"8-10'Tx8-10'W, white flowers, late May, red berries, birds, N",White,Moist,Sun/Part Sun,Deep Green
SHRUBS,Viburnum,"6-8'Tx6-8'W,  fragrant, creamy white flowers, early May, evergreen foliage, full and dense growing",Creamy White,Moist,,Evergreen 
SHRUBS,Viburnum,"6-7'Tx6-7'W,  fragrant, creamy white flowers, early May, evergreen foliage, full and dense growing",Creamy White,Moist,,Evergreen
SHRUBS,Viburnum,"6-7'Tx8-10'W, creamy white flowers, May, dark green, glossy foliage, red fruit, Fall Color",Creamy White,Moist,,Dk green Glosssy
SHRUBS,"Viburnum, Arrowood","8-10'Tx 8-10'W, creamy white flowers, May-July, blue-black fruit in fall,  Fall Color, birds, N",Creamy White,Average to Moist,Sun/Part Sun,"Glossy, Dark Green"
SHRUBS,"Viburnum, Arrowood","7-8'Tx5-6'W, white flowers, late May/early June, birds, Fall Color, N",White,Average to Moist,Sun/Part Sun,"Glossy, Dark Green"
SHRUBS,"Viburnum, Arrowood ","5-6'Tx5-6'W, creamy white flowers, late May, blue fruit, Fall Color, birds, N",Creamy White ,Average to Moist,Sun/Part Sun,"Glossy, Dark Green"
SHRUBS,"Viburnum, Bailey's Compact ","5-6'Tx5-6'W, white flowers, late May, red fruit, Fall Color, birds, N",White,Moist,Sun/Part Sun,Shiny Green
SHRUBS,"Viburnum, Blackhaw","10-12'Tx6-8'W, fragrant creamy-white flowers, mid-May, black berries, N ",Creamy White ,Average to Dry,Sun/Part Sun,Deep Green
SHRUBS,"Viburnum, Doublefile","3-5'Tx3-5'W, white flowers, mid-May, berries, Fall Color, birds",White ,Average to Moist,Sun/Part Sun,Green
SHRUBS,"Viburnum, Doublefile","8-10'Tx10-12'W, white flowers, mid-May, red/black in July, red-purple Fall Color, birds",White,Average to Moist,Sun/Part Sun,Dark Green
SHRUBS,"Viburnum, Doublefile","5-6'Tx8-10'W, white flowers, mid-May, fall berries, birds",White ,Average to Moist,Sun/Part Sun,Green
SHRUBS,"Viburnum, Fragrant","8-10'Tx8-10'W, pink buds opening to fragrant white flowers, early May, deep green foliage, spreading",Pink buds-White Flrs,Average to Moist,Sun/Part Sun,Deep Green 
SHRUBS,"Viburnum, Korean Spice","6-8'Tx6-8'W, very fragrant, pink, snowball flowers, late-April ",Pink to White,Average,Sun/Part Sun,Deep Green 
SHRUBS,"Viburnum, Dwarf Korean Spice","4-6'Tx4-6'W, very fragrant, pink, snowball flowers, late-April, Deer Resistant ",Pink to White,Average,Sun/Part Sun,Deep Green 
SHRUBS,"Viburnum, Leatherleaf","10-12'Tx12-14'W, white flowers, mid-May, leathery, deep green, evergreen foliage ",White ,Moist,Sun/Part Sun,Leathery Deep Green
SHRUBS,"Viburnum, Dwarf Leatherleaf","8'Tx8'W, white flowers, mid-May, leathery, deep green, evergreen foliage, part shade-shade ",White ,Moist,Sun/Part Sun,Leathery Deep Green
SHRUBS,"Viburnum, Mapleleaf","6-7'Tx4-5'W, white flowers, May-June, black-red berries, upright/suckering plant, red fall color, birds, N",White ,Average to Moist,Sun/Part Sun,Medium Green
SHRUBS,"Viburnum, Tea","8-12'Tx6-8'W, white flowers, May, soft blue-green foliage, bright red berries, birds",White  ,,,Soft Blue Green
SHRUBS,"Viburnum, Witherod","7-8'Tx5-6'W, white flowers, late-June, birds, crimson-purple Fall Color, N",White ,Moist to Wet,Sun/Part Sun,Dark Green
SHRUBS,"Viburnum, Witherod","7'Tx7'W, (suckering habit), creamy white flowers, late June, pink/black fruit, Sept, red-purple Fall Color, Birds, N",Creamy White,Moist to Wet,Sun/Part Sun,Dark Green
SHRUBS,Nannyberry,"14-16'Tx6-12'W, (suckering habit), creamy white flowers, Spring, blue/black fruit, Fall/Winter, red-purple Fall Color, Birds, N",Creamy White,Average,Sun/Part Sun,"Leathery, Deep Green"
SHRUBS,Weigela,"3'Tx4-5'W, reddish/pink flowers, May- June, dark burgundy foliage, hummingbirds",Reddish Pink,Average,Full Sun,Medium Green
SHRUBS,Weigela,"2-3'Tx3-5'W, pink tubular flowers, June, black/pruple foliage, spreading habit, hummingbirds",Pink ,Average,Full Sun,Medium Green
